ENGLISH,ARABIC,FRENCH,SPANISH
Bresi,لجم مجفف,Brési,Bresi
Brie,لجم مجفف,Brie,Queso Brie
Brill,جبنة بري,Barbue,Rodaballo
Brilliant Black A,لون أسود لامع أ,Noir brillant A,Negro brillante A
Brilliant Black BN,لون أسود لامع BN,Noir brillant BN,Negro brillante BN
Brilliant Black BN Black PN,لون أسود لامع BN أسود PN,Noir brillant BN Noir PN,Negro brillante BN Negro PN
Brilliant Black PN,لون أسود لامع PN,Noir brillant PN,Negro brillante PN
Brilliant Blue,لون أزرق لامع,Bleu brillant,Azul brillante
BrillIant Blue FCF,لون أزرق لامع FCF,Bleu brillant FCF,Azul brillante FCF
Brilliant Scarlet 4R,لون قرمزي لامع 4R,Ponceau 4R,Escarlata brillante 4R
Brinjal,باذنجان,Aubergine,Berenjena
Brioche,خبز بريوش,Brioche,Brioche
Broad Beans,الفول,Fèves,Habas
Broccoflower,قرنبيط أخضر,Chou fleur vert,Romanesco
Broccoli,بروكلي,Brocoli,Brócoli
Bromated Whole Wheat Flour,دقيق القمح الكامل معزز بالبوتاسيوم,Farine de blé entier bromée,Harina integral de trigo bromada
Brominated Vegetable Oil,زيت خضار معزز بالبوتاسيوم,Huile végétale bromée,Aceite vegetal bromado
Brook Trout,سمك السالمون المرقط,Omble de fontaine,Trucha de arroyo
Broth Cube,مكعب المرق,Cube de bouillon,Cubo de caldo
Brown Ale,شراب شعير بني,Bière brune,Brown ale
Brown Bread,خبز اسمر,Pain complet,Pan Integral
Brown FK,لون بني FK,Brun FK,Marrón FK
Brown HT,لون بني HT,Brun HT,Marrón HT
Brown rice crisp,مقرمشات الأرز البني,Riz brun croustillant,Arroz integral crujiente
Brown Sauce,صلصة بنية اللون,Brown sauce,Brown sauce
Brown Sugar,سكر بني,Sucre brun,Azúcar moreno
Brown Trout,سمكة السالمون المرقطة البنية,Truite brune,Trucha común
Brussel Sprouts,براعم بروكسل,Choux de Bruxelles,Coles de Bruselas
Brussels Sprouts,براعم بروكسل,Choux de Bruxelles,Coles de Bruselas
BUA,,Agent de charge,Agente de carga
Bucatini,باستا بوكاتيني,Bucatini,Bucatini
Buckwheat,الحنطة السوداء,Sarrasin,Trigo sarraceno
Buckwheat flour,طحين الحنطة السوداء,Farine de sarrasin,Harina de trigo sarraceno
Buckwheat Whiskey,ويسكي الحنطة السوداء,Whisky de sarrasin,Whiskey de trigo sarraceno
Buddha's Hand,ليمون يد بوذا,Main de Bouddha,Mano de Buda
Buffalo,جاموس,Buffle,Búfalo
Buffalo Cod,"سمك القد
",Morue de buffle,Bacalao de búfalo
Buffalo Meat,لحم الجاموس,Viande de bison,Carne de búfalo
Buko Pie,فطيرة جوز الهند بالكاسترد,Buko pie,Buko Pie
Bulgur,البرغل,Boulgour,Bulgur
Bulgur Wheat,برغل القمح,Boulgour,Trigo de bulgur
Bulking Agents,,Agents de charge,Agentes voluminizadores
Bullet Tuna,تونا بوليت,Bonitou,Melva
Bun,خبز,Petit pain,Bollo
Bun Noodles,نودلز الأرز,Nouilles Bun,Bun Noodles
Burdock,نبات الأرقطيون,Bardane,Bardana
Burdock Flower,زهرة الأرقطيون,Fleur de bardane,Flor de bardana
Burdock Leaves,أوراق الأرقطيون,Feuilles de bardane,Hojas de bardana
Burdock Oil,زيت الأرقطيون,Huile de bardane,Aceite de bardana
Burdock Plant,نبات الأرقطيون,Plant de bardane,Planta de bardana
Burdock Root,جذر الأرقطيون,Racine de bardane,Raíz de bardana
Burdock Root Tea,جذر شاي الأرقطيون,Thé à la racine de bardane,Té de raíz de bardana
Burdock Seeds,بذور الأرقطيون,Graines de bardane,Semillas de bardana
Burn,حرق,Burn,Quemado
Burnet,بيرنت,Burnet,Hierba del cuchillo
Burnet Garden,بيرنت ، حديقة,Pimprenelle,Hierba del cuchillo
Burnet Salad,بورنت ، سلطة,Pimprenelle,Hierba del cuchillo
Burnet Small,بيرنت ، صغير,Pimprenelle,Hierba del cuchillo
Burukutu,مشروب بوروكوتو,Burukutu,Burukutu
Bush Tomato,طماطم كرزية,Tomate de brousse,Tomate de arbusto
Bush Tomato Relish,طماطم كرزية مخللة,Goût tomate de brousse,Mermelada de tomate de arbusto
Busiate,باستا بوسياتي,Busiate,Busiate
Busiati,باستا بوسياتي,Busiati,Busiati
Butane,البوتان,Butane,Butane
Butter,زبدة,Beurre,Mantequilla
Butter Bean,زبدة البازلاء,Haricot de Lima,Judía de Lima
Butter Cake,كعكة الزبدة,Gâteau au beurre,Bizcocho
Butter Fat,دهن,Graisse de beurre,Grasa de mantequilla
Butter Oil,زيت الزبدة,Huile de beurre,Aceita de mantequilla
Butter Pie,فطيرة الزبدة,Tarte au beurre,Tarta de mantequilla
Butter Clarified,زبدة، نقية,Beurre clarifié,Mantequilla clarificada
Butterfat,زبدة الحليب,Matière grasse,Grasa butírica
Butterfish,سمكة الزبيدي,Stromatée à fossettes,Palometa
Butterfly Kingfish,سمكة الزبيدي الملك,Martin papillon,Atún chauchera
Buttermilk,زبدة الحليب,Babeurre,Suero de la leche
Buttermilk Dried,زبدة الحليب، مجففة,Babeurre séché,Suero deshidratado
Butternut Squash,قرع,Courge butternut,Calabaza
Butteroil,سمنة,Huile de beurre,Aceite de mantequilla
Butyl Acetate,,Acétate de butyle,Acetato de butilo
Butyl Butyryllactate,,Butyryllactate de butyle,Butirilactato de butilo
Butyl Heptanoate,,Heptanoate de butyle,Heptanoato de butilo
Butylated Hydroxyanisole,,Hydroxyanisole butylé,Hidroxianisol butilado
Butylated hydroxyanisole BHA,,Hydroxyanisole butylé BHA,Hidroxianisol butilado BHA
Butylated Hydroxytoluene,,Hydroxytoluène butylé,Hidroxitolueno butilado
Butylated hydroxytoluene BHT,,Hydroxytoluène butylé BHT,Hidroxitolueno Butilado BHT
Butylhydroquinone,,Butylhydroquinone,Butilhidroquinona
Butylparaben,بارابين البوتيل,Butylparabène,Butilparabeno
Butyric Acid,حمض البيوتيريك,Acide butyrique,Ácido butírico
Cabanossi,نقانق كابانوسي,Cabanossi,Cabanossi
Cabbage,الكرنب,Chou,Repollo
Cabecou,جبنة ماعز كوبيكو,Cabécou,Cabecou
Cabinet Pudding,بودينغ انجليزي,Pudding du chancelier,Pudding del canciller
Cacao,كاكلو,Cacao,Cacao
Cacao bean,حبوب الكاكاو,Fève de cacao,Cacao en grano
Cacao Butter,زبدة الكاكاو,Beurre de cacao,Mantequilla de cacao
Cacao nibs,قطع الكاكاو,Noix de cacao,Pepitas de cacao
Cacao Shell,قشرة الكاكاو,Coquille de cacao,Cáscara del cacao
Caccavelle,باستا كاتشافيل,Caccavelle,Caccavelle
Cachaca,مشروب كاشاسا,Cachaca,Cachaca
Cachou Extract,مستخلص الكاتشو,Extrait de cachou,Extracto de cachou
Cactus Root Extract,مستخلص الجذر الصبار,Extrait de racine de cactus,Extracto de raíz de cactus
Cadbury Celebrations,,Cadbury Celebrations,Cadbury Celebrations
Cadbury Dairy Milk,,Cadbury Dairy Milk,Cadbury Leche
Cadbury Fruit & Nut,كادبوري بالفاكهة والجوز,Fruits et noix Cadbury,Cadbury Frutas y Nueces
Cadbury Fruit and Nut,كادبوري بالفاكهة والجوز,Fruits et noix Cadbury,Cadbury Frutas y Nueces
Cadbury Whole Nut,كادبوري بالجوز,Noix de Cadbury,Cadbury Nueces
Cadinene,جبنة كادينين,Cadinène,Cadineno
Caerphilly Cheese,جبنة كرفيلي,Fromage Caerphilly,Queso Caerphilly
Caffeine,كافيين,Caféine,Cafeína
Cajeput Oil,زيت كاجيبوت,Huile de cajeput,Aceite de cajeput
Cake,كيك,Gâteau,Pastel
Cake Flour,طحين الكيك,Farine de gâteau,Harina de reposteria
Calabrese,كالابريزي,Calabrese,Calabrese
Calamarata,باستا كالاماراتا,Calamarata,Calamarata
Calamus,نبات الوج,Calamus,Cálamo
Calciferol,فيتامين د٢,Calciférol,Calciferol
Calcium,كالسيوم,Calcium,Calcio
Calcium Citrate,سترات الكالسيوم,Citrate de calcium,Citrato de calcio
Calcium Ca,الكالسيوم,Calcium Ca,Calcio Ca
Calcium 5' ribonucleotides,الكالسيوم 5' ريبونوكليوتيدات,Ribonucléotides 5' de calcium,Ribonucleótidos 5´ de Calcio
Calcium acetate,أسيتات الكالسيوم,Acétate de calcium,Acetato de calcio
Calcium Acid Phosphate,حمض كالسيوم الفوسفات,Phosphate acide de calcium,Fosfato ácido de calcio
Calcium alginate,ألجينات الكالسيوم,Alginate de calcium,Alginato de calcio
Calcium Ascorbate,أسكوربات الكالسيوم,Ascorbate de calcium,Ascorbato de calcio
Calcium Benzoate,بنزوات الكالسيوم,Benzoate de calcium,Benzoato de calcio
Calcium Biphosphate,ثنائي فوسفات الكالسيوم,Biphosphate de calcium,Bifosfato de calcio
Calcium Bisulfite,بيسلفيت الكالسيوم,Bisulfite de Calcium,Bisulfito de calcio
Calcium Bisulphite,بيسلفيت الكالسيوم,Bisulfite de Calcium,Bisulfito de calcio
Calcium Bromate,بروميت الكالسيوم,Bromate de calcium,Bromato de calcio
Calcium Carbonate,كربونات الكالسيوم,Carbonate de calcium,Carbonato de calcio
Calcium Carrageenan,,Carraghénane de calcium,Carragenina de calcio
Calcium Caseinate,كازينات الكالسيوم,Caséinate de calcium,Caseinato de calcio
Calcium chloride,كلوريد الكالسيوم,Chlorure de calcium,Cloruro de calcio
Calcium citrates,سترات الكالسيوم,Citrate de calcium,Citratos de calcio
Calcium D Pantothenic Acid,حمض الكالسيوم بانتوثينيك,Calcium D acide pantothénique,Calcio D Ácido pantoténico
Calcium Diacetate,ثنائي الأسيتات الكالسيوم,Diacétate de calcium,Diacetato de calcio
Calcium Diglutamate,,Diglutamate de calcium,Diglutamato de calcio
Calcium Disodium EDTA,,EDTA de calcium disodique,EDTA cálcico disódico
Calcium disodium ethylene diaminetetra acetate ,,Tétraacétate d'éthylène diamine et de calcium disodique,Etilendiaminotetraacetato de calcio y disodio
Calcium Ferrocyanide,فيروسيانيد الكالسيوم,Ferrocyanure de calcium,Ferrocianuro de calcio
Calcium Formate,فورمات الكالسيوم,Formiate de calcium,Formiato de calcio
Calcium Fumarate,فومارات الكالسيوم,Fumarate de calcium,Fumarato de calcio
Calcium gluconate,غلوكونات الكالسيوم,Gluconate de calcium,Gluconato de calcio
Calcium Glycerophosphate,كالسيوم فوسفات الجلسرين,Glycérophosphate de calcium,Glicerofosfato de calcio
Calcium Guanylate,كالسيوم جوانييلات,Guanylate de calcium,Guanilato de calcio
Calcium Hydrate,هيدرات الكالسيوم,Hydrate de calcium,Hidrato de calcio
Calcium Hydrogen Sulfite,كبريتيت هيدروجين الكالسيوم,Sulfite d'hydrogène de calcium,Sulfito hidrógeno de calcio
Calcium Hydrogen Sulphite,كبريتات هيدروجين الكالسيوم,Sulfite d'hydrogène de calcium,Sulfito hidrógeno de calcio
Calcium hydroxide,هيدروكسيد الكالسيوم,Hydroxyde de calcium,Hidróxido de calcio
Calcium Inosinate,الكالسيوم إينوزينات,Inosinate de calcium,Inosinato de calcio
Calcium inosinate,,Inosinate de calcium,Inosinato de calcio
Calcium Iodate,يودات الكالسيوم,Iodate de calcium,Yodato de calcio
Calcium lactate,لاكتات الكالسيوم,Lactate de calcium,Lactato de calcio
Calcium Lactobionate,لاكتوبيونات الكالسيوم,Lactobionate de calcium,Lactobionato de calcio
Calcium Malate,مالات الكالسيوم,Malate de calcium,Malato de calcio
Calcium malates,ذكور الكالسيوم,Malates de calcium,Malatos de calcio
Calcium Oxide,أكسيد الكالسيوم,Oxyde de calcium,Óxido de calcio
Calcium Pantothenate,بانتوثينات الكالسيوم,Pantothenate de calcium,Pantotenato de calcio
Calcium Pectinate,البكتين الكالسيوم,Pectinate de calcium,Pectinato de calcio
Calcium Peroxide,بيروكسيد الكالسيوم,Peroxyde de calcium,Peróxido de calcio
Calcium Phosphate,فوسفات الكالسيوم,Phosphate de calcium,Fosfato de calcio
Calcium Phosphate Monobasic,,Phosphate de calcium monobasique,Fosfato de calcio monobásico
Calcium Phosphate Tribasic,,Phosphate de calcium tribasique,Fosfato cálcico tribásico
Calcium Phosphate Dibasic Anhydrous,,Phosphate de calcium dibasique anhydre,Fosfato de calcio dibásico anhidro
Calcium Phosphate Dibasic Hydrous,,Phosphate de calcium,Fosfato de calcio
Calcium phosphates,فوسفات الكالسيوم,Phosphate de calcium hydraté dibasique,Fosfato de calcio dibásico hidratado
Calcium Polyphosphate,بولي فوسفات الكالسيوم,Polyphosphate de calcium,Polifosfato de calcio
Calcium propionate,بروبيونات الكالسيوم,Propionate de calcium,Propionato de calcio
Calcium Pyrophosphate,بيروفوسفات الكالسيوم,Pyrophosphate de calcium,Pirofosfato de calcio
Calcium Saccharin,الكالسيوم السكرين,Saccharine de calcium,Sacarina de calcio
Calcium Salts of Fatty Acids,أملاح الكالسيوم من الأحماض الدهنية,Sels de calcium d'acides gras,Sales de calcio de ácidos grasos
Calcium silicate,سيليكات الكالسيوم,Silicate de calcium,Silicato de calcio
Calcium Sorbate,سوربات الكالسيوم,Sorbate de calcium,Sorbato de calcio
Calcium Stearate,سترات الكالسيوم,Stéarate de calcium,Estearato de calcio
Calcium Stearoyl Lactylate,,Lactylate de stéaroyle de calcium,Estearoil lactilato de calcio
Calcium stearoyl 2 lactylate,,Stéaryl 2 lactylate de calcium,Estearoil 2 lactilato de calcio
Calcium Sulfate,كبريتات الكالسيوم,Sulfate de calcium,Sulfato de calcio
Calcium Sulfite,كبريتات الكالسيوم,Sulfite de calcium,Sulfito de calcio
Calcium Sulphate,كبريتات الكالسيوم,Sulfate de calcium,Sulfato de calcio 
Calcium sulphate Calcium sulfate,كبريتات الكالسيوم سلفات الكالسيوم,Sulfate de calcium,Sulfato de calcio 
Calcium Sulphite,كبريتات الكالسيوم,Sulfite de calcium,Sulfito de calcio
Calcium sulphite Calcium sulfite,كبريتات الكالسيوم كبريتات الكالسيوم,Sulfite de calcium,Sulfito de calcio
Calcium Tartrate,طرطرات الكالسيوم,Tartrate de calcium,Tartrato de calcio
Calcium Ca,الكالسيوم,Calcium Ca,Calcio Ca
Calories from Fat,السعرات الحرارية من الدهون,Calories provenant des lipides,Calorías que provienen de la grasa
Calvados,مشروب الكالفادوس,Calvados,Calvados
Cambozola,جبنة كامبوزولا,Cambozola,Cambozola
Camel,جمل,Chameau,Camello
Camellia Oil,زيت الكاميليا,Huile de camélia,Aceite de camelia
Camembert,جبن الكممبير,Camembert,Queso Camembert
Camomile,بابونج,Camomille,Manzanilla
Campanelle,باستا كامبانيل,Campanelle,Campanelle
Canadian Whisky,ويسكي كندي,Whisky canadien,Whisky canadiense
Cananga Oil,زيت الكانجا,Huile de cananga,Aceite de cananga
Candelilla Wax,شمع كانديلا,Cire de candelilla,Cera de Candelilla
Candied,ملبس,Confit/te,Confitado/a
Candlenut,ألوريتس,Candlenut,Nuez de la india
Cane Sugar,قصب سكر,Sucre de canne,Azúcar de caña
Canederli,,Canederli,Canederli
Canned,معلب,En conserve,Enlatado/a
Cannelloni,كانيلوني,Cannelloni,Canelones
Canola,الكانولا,Canola,Canola
Canola Oil,زيت الكانولا,Huile de canola,Aceite de canola
Cantaloupe Melon,بطيخ الشمام,Melon cantaloup,Melón cantalupo
Canthaxanthin,,Canthaxanthine,Cantaxantina
Capelin Roe,كابيلين رو,Œufs de capelan,Huevos de capelán
Capelli d'angelo,كابيلي دي أنجيلو,Capelli d'angelo,Capelli d'angelo
Capelli da Chef,كابيلي دا شيف,Capelli da Chef,Capelli da Chef
Capellini,كابليني,Capellini,Capellini
Caper,قبار,Câpre,Alcaparra
Capocollo,لحم كابوكولو المقدد,Capocollo,Capocollo
Capon,ديك مخصي,Chapon,Capón
Cappelletti,باستا كابيليتي,Cappelletti,Cappelletti
Caprylic Acid,حمض الكابريليك,Acide caprylique,Ácido caprílico
Capsanthin,صبغة طعام حمراء طبيعية,Capsanthine,capsantina
Capsicum,الفليفلة,Poivron,Pimiento
Capsorubin,صبغة طعام حمراء طبيعية,Capsorubine,Capsorrubina
Capybara,كابيبارا,Capybara,Capibara
CAR,,Solvants de support,Soporta solventes
Carabao,كاراباو,Carabao,Carabao
Caramel,الكراميل,Caramel,Caramelo
Caramel I,الكراميل ١,Caramel I,Caramelo I
Caramel II,الكراميل ٢,Caramel II,Caramelo II
Caramel III,الكراميل ٣,Caramel III,Caramelo III
Caramel IV,الكراميل ٤,Caramel IV,Caramelo IV
Caramelle,الكراميل,Caramelle,Caramelle
Caraway,كراوية,Carvi,Alcaravea
Caraway Seed,بذور كراوية,Graine de carvi,Granos de alcaravea
Caraway Seed Cake,كعكة بذور الكراوية,Gâteau aux graines de carvi,Pastel de granos de alcaravea
Carbamide,اليوريا,Carbamide,Carbamida
Carbohydrate by difference,الكربوهيدرات ، عن طريق الفرق,Glucides par différence,Hidratos de carbono por diferencia
Carbon Black,أسود فحمي,Noir carbone,Negro carbón
Carbon dioxide,ثنائي أكسيد الكربون,Dioxide de carbone,Dióxido de carbono
Carbonate,كربونات,Carbonate,Carbonato
Carbonated Water,مياه غازية,Eau gazeuse,Agua carbonatada
Carbonating Agents,عامل الكربنة ,Agents de carbonatation,Agentes de carbonatación
Carboxy methyl cellulose CMC,كربوكسي ميثيل السليلوز سليلوز الصمغ CMC,Carboxyméthylcellulose CMC,Carboximetilcelulosa Goma de celulosa CMC
Carboxymethylcellulose,,Carboxyméthylcellulose,Carboximetilcelulosa
Cardamom,هيل,Cardamome,Cardamomo
Cardamon,هيل,Cardamome,Cardamomo
Cardamum,هيل,Cardamum,Cardamum
Carmine,اللون القرمزي,Carmin,Carmín
Carmoisine,اللون القرمزي,Carmoisine,Carmoisina
Carnauba wax,شمع كرنوبا,Cire de carnauba,Cera de carnauba
Carne de sol,كارني دي سول,Carne de sol,Carne de sol
Carob,خروب,Caroube,Algarroba
Carob Gum,صمغ الخروب,Gomme de caroube,Goma garrofín
Carob Pod,قرنة الخروب,Gousse de caroube,Vaina de algarroba
Carob Pod Oil,زيت قرنة الخروب,Huile de gousse de caroube,Aceite de vaina de algarroba
Carob Pod Powder,مسحوق قرنة الخروب,Poudre de gousse de caroube,Polvo de vaina de algarroba
Carob Pod Syrup,شراب الخروب,Sirop de caroube,Jarabe de vaina de algarroba
Carom Seeds,بذور الينسون,Graines de carambole,Semillas de carambola
Carotene,كاروتين,Carotène,Caroteno
Carotene Alpha,كاروتين ، ألفا,Carotène alpha,Alfa-caroteno
Carotene Beta,كاروتين ، بيتا,Carotène bêta,Beta-caroteno
Carotene Gamma,كاروتين ، جاما,Carotène gamma,Gamma-caroteno
Carotenes,الكاروتينات,Carotènes,Carotenos
Carp,سمك الشبوط,Carpe,Carpa
Carrageen Moss,طحالب كاراجين,Mousse de carraghénane,Musgo carrageen
Carrageenan,الكاراجينان,Carraghénane,Carragenina
Carriers Carrier Solvents,ناقلات مذيبات الناقل ,Solvants de support,Soporta solventes
Carrot,جزرة,Carotte,Zanahoria
Carrot Cake,كيك الجزر,Gâteau à la carotte,Pastel de zanahoria
Carrot Oil,زيت الجزر,Huile de carotte,Aceite de zanahoria
Carubin,,Carubin,Carubina
Carvacrol,,Carvacrol,Carvacrol
Casarecce,باستا كاساريتشي,Casarecce,Casarecce
Casein,الكازين,Caséine,Caseína
Caseinates,أملاحه,Caséinates,Caseinatos
Cashew,الكاجو,Anacardier,Anacardo
Cashew Nut,جوز الكاجو,Noix de cajou,Anacardo
Cashew Oil,زيت الكاجو,Huile de noix de cajou,Aceite de anacardo
Cashew Pie,فطيرة الكاجو,Tarte aux noix de cajou,Tarta de anacardo
Cask Ale,برميل مشروب الشعير,Bière brute,Cerveza cruda
Casoncelli,باستا كاسونتشيلي,Casoncelli,Casoncelli
Casonsei,,Casonsei,Casonsei
Cassava,الكسافا,Manioc,Mandioca
Cassava Beer,مشروب شعير الكسافا,Bière de manioc,Kasiri
Cassia,قرفة صينية,Cassia,Cassia
Cassia gum,صمغ قرفة صينية,Gomme de cassia,Chicle de casia
Castellane,كاستيلان,Castellane,Castellane
Castor Oil,زيت الخروع,Huile de castor,Aceite de castor
Casunziei,باستا كاسونزي,Casunziei,Casunziei
Catechu Extract,مستخلص الكاتشو,Extrait de catechu,Extracto de casunziei
Catfish,سمك السلور,Poisson chat,Siluro
Cations,الأيونات الموجبة,Cations,Cationes
Catmint,قطرم,Menthe à chats,Nepeta
Catnip,قطرم,Cataire,Albahaca de gatos
Cattle,ماشية,Bétail,Rebaño
Cauim,مشروب كايوم,Bière Cauim,Cerveza Cauim
Cauliflower,قرنبيط,Choufleur,Coliflor
Caustic sulfite caramel Caustic sulphite caramel,كراميل كبريتيت الكاوية كراميل كبريتيت الكاوية,Caramel au sulfite caustique,Caramelo de sulfito cáustico
Cavatatappi,باستا كافاتاتابي,Cavatappi,Cavatatappi
Cavatelli,كافاتيلي,Cavatelli,Cavatelli
Caviar,كافيار,Caviar,Caviar
Cayenne Pepper,فلفل حريف,Poivre de Cayenne,Pimiento de Cayena
CBA,,Agents de carbonatation,Agentes carbonatantes
Ceci Beans,حمص,Haricots Ceci,Frijoles ceci
