ENGLISH,ARABIC,FRENCH,CATEGORY
Acid Modified Corn Starch,نشا ذرة معدل,Amidon de maïs modifié à l'acide,
Acidity Regulators,منظم الحمض,Régulateurs d'acidité,
Acids,أحماض,Acides,
Acids Acid Regulators,أحماض منظم أحماض,Acides Régulateurs d'acide,
Acidulants,محمضات,Acidulants,
Acidulants and Acids,محمضات وأحماض,Acidulants et acides,
Acini di Pepe,ثنائي عنيبات,Acini di Pepe,
Ackawi,عكاوي,Fromage de Saint Jean d'Acre,
Ackee,آقية,Akée,
Aconitic Acid,حامض الأكونتيك,Acide aconotique,
Acorn Squash,مهروس جوز البلوط,Courge poivrée,
Acrolein,أكرولين، مركب طيار من الغيليسرين,Acroléine,
ADDA,قعدة,ADDA,
Added to prevent caking,لمنع التعجين,Ajouté pour empêcher la prise en masse,
Additional Additives,إضافات إضافية,Additifs supplémentaires,
Adipic Acid,حمض دهني,Acide adipique,
Adipic Anhydride,أنهايدريد دهني,Anhydride adipique,
Aduki Bean,فاصوليا صينية,Haricot Aduki,
Advantame,محلي غير قلوي,Advantame,
Advocaat,مشروب كحولي,Advocaat,
Adzuki Bean,فاصوليا أدزوكي الحمراء,Haricot Adzuki,
Aero,أيرو,Aéro,
Aero Mint,Aero Mint,Aero Mint,
AFA,مانع للرغوة,Agents anti mousse,
After Eight,بعد الثامنة,After Eight,
Agar,أجار,Gélose,
Agave,صبار,Agave,
Agave Juice,عصير الصبار,Jus d'agave,
Agave Nectar,مستخلص الصبار,Nectar d'agave,
Agave Syrup,عصير صبار,Sirop d'agave,
Aged,مُعتق,Vieilli/e,
Agnolotti,باستا مربعة محشوة,Agnolotti,
Agrodolce,صلصة حامض حلو إيطالية,Aigre doux,
Aila,آيلا,Aila,
Air dried,مجففة بالهواء,Séché à l'air,
Ajwain,عجوة,Trachyspermum ammi,
Akkawi,عكاوي,Fromage de Saint Jean d'Acre,
Akvavit,مشروب كحولي,Aquavit,
Alabama Whiskey,ويسكي ألاباما,Whisky de l'Alabama,
Alanine,حمض أميني,Alanine,
Alaska Pollock,سمك,Colin d'Alaska,
Albacore,تونة الباكور,Thon blanc,
Albacore Tuna,تونة الباكور,Thon blanc,
Albumin,بروتين,Albumine,
Alcohol,كحول,Alcool,
Aldehyde C 16,ألداهايد سي 16,Aldéhyde C 16,
Aldehyde C 18,الداهايد سي 18,Aldéhyde C 18,
Aldehyde C 9,الداهايد سي 9,Aldéhyde C 9,
Ale,بيرة محلاة,Ale,
Alecost,أليكوست,Menthe coq,
Alewife,أليوايف,Gaspareau,
Alfabeto,ألفابيتو,Alfabeto,
Alfalfa,برسيم حجازي,Luzerne,
Alfalfa Sprouts,ضمة برسيم حجازي,Choux de luzerne,
Algin,مادة طبية مستخلصة من الطحالب,Alginate,
Alginate,مادة طبية مستخلصة من الطحالب,Alginate,
Alginic Acid,أسيد الألجني,Acide alginique,
Alitame,منكه سكر غير حلو,Alitame,
Alkaline Treated Starch,منكه سكر غير حلو,Amidon traité alcalin,
Alkanet,صبغة حمراء طبيعية,Alkanet,
All Natural,طبيعي بالكامل,100% naturel/ellle,
All Sport,رياضي بالكامل,Soda All Sport,
All Bran,حبوب فطور أول بران,Son de blé,
All Bran Buds,حبوب فطور أول بران,Bourgeons de son,
All Purpose Flour,دقيق متعدد الاستخدام,Farine tout usage,
Allergen,مضاد جيني,Allergène,
Allergen Information,معلومات المضاد الجيني,Information sur les allergènes,
Allergens,محتوى المضاد الجيني,Allergènes,
Alligator,تمساح,Alligator,
Alligator Pepper,فلفل تمساح,Poivre d'alligator,
Allspice,فلفل جمايكي,Piment,
Allura Red AC,صبغة غذائية129 E,Rouge allura AC,
Allyl Anthranilate,عامل معطر,Anthranilate d'allyle,
Allyl Caproate,عامل معطر,Caproate d'allyle,
Allyl Cinnamate,عامل معطر,Cannelle d'allyle,
Allyl Hexanoate,عامل معطر,Hexanoate d'allyle,
Allyl Isothiocyanate,عامل معطر,Isothiocyanate d'allyle,
Allyl Isovalerate,عامل معطر,Isovalerate d'allyle,
Allyl Mercaptan,عامل معطر,Mercaptan d'allyle,
Allyl Nonanoate,عامل معطر,Nonanoate d'allyle,
Allyl Octanoate,عامل معطر,Octanoate d'allyle,
Allyl Phenoxyacetate,عامل معطر,Phenoxyacetate d'allyle,
Allyl Phenylacetate,عامل معطر,Phenylacetate d'allyle,
Allyl Sorbate,عامل معطر,Sorbate d'allyle,
Allyl 2 4 Hexadienoate,عامل معطر,Allyl 2 4 Hexadienoate,
Almond,لوز,Amande,
Almond Extract,مستخلص اللوز,Extrait d'amande,
Almond Flour,دقيق اللوز,Farine d'amande,
Almond Flour Blanched Ground,دقيق لوز خشن,Farine d'amande blanchie moulue,
Almond Meal,وجبة لوز,Plat aux amandes,
Almond Oil,زيت اللوز,Huile d'amande,
Almond Paste,معجون اللوز,Pâte d'amande,
Almond Powder,بودرة اللوز,Poudre d'amande,
Almonds Ground,لوز خشن,Amandes moulues,
Almonds Ground Natural,لوز طبيعي غير مكرر,Amandes moulues naturelles,
Aloo Paratha,براتا محشوة,Aloo paratha,
Alpaca,جمل جموب أمريكي,Alpaga,
Alpha Tocopheryl Acetate,فيتامين E,Acétate Alpha Tocopheryl,
Alpha Tocopherol,فيتامين E,Alpha tocophérol,
Alum,سولفات الألومنيوم,Alun,
Aluminium,ألومنيوم,Aluminium,
Aluminium Ammonium Sulphate,سولفات أمونيوم الألومنيوم,Sulfate d'ammonium d'aluminium,
Aluminium Calcium Silicate,سيليكا كالسيوم ألومنيوم,Silicate de calcium en aluminium,
Aluminum calcium silicate,سيليكا كالسيوم ألومنيوم,Silicate de calcium en aluminium,
Aluminium Nicotinate,نيكوتينات ألومنيوم,Nicotinate d'aluminium,
Aluminium Oleate,أوليات ألومنيوم,Oléate d'aluminium,
Aluminium Potassium Sulphate,سولفات بوتاسيوم ألومنيوم,Sulfate de potassium d'aluminium,
Aluminum potassium sulfate,سولفات بوتاسيوم ألومنيوم,Sulfate de potassium d'aluminium,
Aluminium Silicate,سيليكا ألومنيوم,Silicate d'aluminium,
Aluminum silicate,سيليكا ألومنيوم,Silicate d'aluminium,
Aluminium Sodium Sulphate,سولفات صوديوم ألومنيوم,Sulfate de sodium et d'aluminium,
Aluminum sodium sulfate,سولفات صوديوم ألومنيوم,Sulfate de sodium et d'aluminium,
Aluminium Sulphate,سولفات الألومنيوم,Sulfate d'aluminium,
Aluminum sulfate,سولفات الألومنيوم,Sulfate d'aluminium,
Aluminum,ألومنيوم,Aluminium,
Aluminum Ammonium Sulfate,كبريتات الألومنيوم والأمونيوم,Sulfate d'ammonium d'aluminium,
Aluminum Calcium Silicate,سيليكات الكالسيوم والألومنيوم,Silicate de calcium en aluminium,
Aluminum Nicotinate,"نيكوتينات الألومنيوم
",Nicotinate d'aluminium,
Aluminum Oleate,أُولِيات الألومنيوم,Oléate d'aluminium,
Aluminum Potassium Sulfate,كبريتات الألومنيوم والبوتاسيوم,Sulfate de potassium d'aluminium,
Aluminum Silicate,سيليكات الألمنيوم,Silicate d'aluminium,
Aluminum Sodium Sulfate,كبريتات الصوديوم والألومنيوم,Sulfate de sodium et d'aluminium,
Aluminum Sulfate,كبريتات الألومنيوم,Sulfate d'aluminium,
Amaranth,قطيفة,Amarante,
Amaranth Oil,زيت القطيفة,Huile d'amarante,
Amarena Cherries,كرز المارشينو,Cerises amarena,
Amasi,حليب ملبن,Amasi,
Amchoor,بودرة مانجو,Amchur,
Amchoor Powder,بودرة مانجو,Poudre d'amchur,
Amchur,بودرة مانجو,Amchur,
American Apple Pie,فطيرة تفاح أمريكية,Tarte aux pommes américaine,
American Bison,ثور أمريكي,Bison américain,
American Blue,جبنة أمريكية زرقاء,Bleu américain,
American Cheese,جبنة أمريكية,Fromage américain,
American Cream,قشطة أمريكية,Crème américaine,
American Hard,جبنة أمريكية صلبة,Fromage américain à pâte dure,
American Lobster,كركند أمريكي ,Homard américain,
American Muffin,مفن أمريكي ,Muffin américain,
American Muffins,مفن أمريكي ,Muffins américains,
American Shad,"جبنة شاد أمريكية
",Alose américaine,
American Soft,جبنة أمريكية رخوة,Fromage américain à pâte molle,
American Whiskey,ويسكي أمريكي,Whisky américain,
Amethyst Deceiver,فطر ملون,Laccaire améthyste,
Amidated Pectin,إضافات غذائية,Pectine amidée,
Amino Acids,أسيد أحادي البروتين,Acides aminés,
Amioca,أميوكا,Amioca,
Amish Friendship Bread,خبز صداقة آمش,Pain d'amitié Amish,
Ammonia caramel,كراميل الأمونيا,Caramel à l'ammoniac,
Ammoniated Glycyrrhizin,عرق سوس مجفف,Glycyrrhizine ammoniée,
Ammonium Acetate,ملح,Acétate d'ammonium,
Ammonium Adipates,ملح E359,Adipates d'ammonium,
Ammonium Alginate,ملح ألجنات الأمونيوم,Alginate d'ammonium,
Ammonium Bicarbonate,بيكاربونات الأمونيوم,Carbonate d'ammonium,
Ammonium Carbonate,كربونات الأمونيوم,Bicarbonate d'ammonium,
Ammonium carbonates,كربونات الأمونيوم,Bicarbonates d'ammonium,
Ammonium Caseinate,كاسينات الأمونيوم,Caséinate d'ammonium,
Ammonium Chloride,كلوريد الأمونيوم,Chlorure d'ammonium,
Ammonium Citrate Dibasic,سيترات الأمونيوم,Citrate d'ammonium dibasique,
Ammonium Ferric Citrate,سيترات فريك الأمونيوم,Citrate d'ammonium ferrique,
Ammonium Fumarate,إضافات غذائية E368,Fumarate d'ammonium,
Ammonium Glutamate,أضافات غذائية E624,Glutamate d'ammonium,
Ammonium Hydroxide,هايدروكسيد الأمونيون,Hydroxyde d'ammonium,
Ammonium Lactate,لاكتات الأمونيوم,Lactate d'ammonium,
Ammonium Malate,مالات الأمونيوم,Malate d'ammonium,
Ammonium Muriate,منقح حمى الحليب,Muriate d'ammonium,
Ammonium Persulfate,سولفات الأمونيوم الأولية,Persulfate d'ammonium,
Ammonium Persulphate,فوسفات الأمونيوم,Persulfate d'ammonium,
Ammonium Phosphate,فوسفات الأمونيوم,Phosphate d'ammonium,
Ammonium Phosphate Dibasic,فوسفات الأمونيوم ثنائية القاعدة,Phosphate d'ammonium dibasique,
Ammonium Phosphate Monobasic,فوسفات الأمونيوم أحادية القاعدة,Phosphate d'ammonium monobasique,
Ammonium Phosphatide,E442 مكملات غذائية,Phosphatide d'ammonium,
Ammonium Polyphosphate,E545 مكملات غذائية,Polyphosphate d'ammonium,
Ammonium Sulfate,سولفات الأمونيوم,Sulfate d'ammonium,
Ammonium Sulfite,سولفات الأمونيوم,Sulfite d'ammonium,
Ammonium Sulphate,سولفات الأمونيوم,Sulfate d'ammonium,
Ammonium Sulphite,سولفات الأمونيوم,Sulfite d'ammonium,
Amount,الكمية,Quantité,
per,لكل,par,
serving,كمية محضرة,portion,
Amylases,أنزيم سكري,Amylases,
Amylcinnamaldehyde,مستحضر غسيل اليدين,Amylcinnamaldéhyde,
Anadama Bread,خبز أسمر بريطاني,Pain Anadama,
Anchovies,سمك الأنشوفة,Anchois,
Anchovy,سمكة الأنشوفة,Anchois,
and,و,et,
and other,والآخرين,et autre,
and or,وأو,et ou,
Andes Chocolate Mints,شوكلاتة أنديس بنكهة النعنع,Menthes au chocolat Andes,
Anelli,باستا دائرية,Anelli,
Anellini,باستا دائرية,Anellini,
Angel Cake,كيكة اسفنجية,Gâteau des anges,
Angel Delight,حلوى اسفنجية خالية من صفار البيض,Délice d'ange,
Angel Food Cake,كيكة اسفنجية,Gâteau des anges,
Angelica,نبات الأنجيليكا,Angélique,
Anglerfish,صيد سمك,Lotte de mer,
Anhydrous Milkfat,كمية الدهن في الحليب,Matière grasse laitière anhydre,
Anionic methacrylate copolymer,الميثاكريليت والكوبوليمر الأنيوني,Copolymère de méthacrylate anionique,
Anions,نواة سالبة,Anions,
Anise,يانسون,Anis,
Anise Aldehyde,مستخرج اليانسون,Anis aldéhyde,
Anise Seed,حب اليانسون,Graine d'anis,
Aniseed,يانسون,Graine d'anis,
Anisyl Butyrate,بترات اليانسون,Butyrate d'anisyle,
Anisyl Formate,فورمات اليانسون,Formate d'anisyle,
Anisyl Propionate,بروبيونات اليانسون,Propionate d'anisyle,
Annatto,نبات يستخدم في تلوين الطعام,Annatto,
Annatto Bixin Norbixin,عصارة نبات أناتو للتلوين,Annatto Bixin Norbixin,
Annatto Extract,مستخلص نبات الأناتو,Extrait d'annatto,
Anoxomer,E323 مكملات غذائية,Anoxomère,
Ansu Apricot,مشمش,Abricot ansu,
ANT,نملة,Antioxidants,
Anthocyanins,ملون نباتي,Anthocyanes,
Anticaking Agent,مانع للتعجين,Anti agglomérant,
Anticaking Agents,مانع للتعجين,Anti agglomérants,
Anticaking Agents and Free Flow Agents,معامل مانع للتعجين,Anti agglomérants et agents d'écoulement libre,
Antifoaming Agents,مانع للرغوة,Agents antimousse,
Antimicrobial Agents,عامل مضاد للبكتيريا,Agents antimicrobiens,
Antioxidants,مضادات أكسدة,Antioxidants,
Apfelwein,خل التفاح,Cidre,
Apple,تفاحة,Pomme,
Apple Brandy,عصير تفاح,Eau de vie à la pomme,
Apple Cake,كيكة تفاح,Gâteau aux pommes,
Apple Cider Vinegar Powder,بودرة خل روح التفاح,Poudre de vinaigre de cidre,
Apple Crumble,فتات التفاح,Crumble aux pommes,
Apple Mint,قطع تفاح صغيرة,Menthe odorante,
Apple Pie,فطيرة تفاح,Tarte aux pommes américaine,
Apple Vinegar,خل تفاح,Vinaigre de pomme,
Applejack,Applejack,Applejack,
Appletiser,أبلتايزر,Appletiseur,
Apricot,مشمش,Abricot,
Apricot Oil,زيت المشمش,Huile d'abricot,
Aqet,كشك,Aqet,
AR,منظمات الحموضة,Acides Régulateurs d'acide,
Arab Bread,خبز عربي,Pain arabe,
Arab Cheese,جبنة عربية,Fromage arabe,
Arabic,عربي,Gomme arabique,
Arabic Bread,خبز عربي,Pain arabe,
Arabic Bread Big,خبز عربي كبير,Gros pain arabe,
Arabic Cheese,جبنة عربية,Fromage arabe,
Arabic Gum,علكة عربية,Gomme arabique,
Arabinogalactan,,Arabinogalactane,
Arak,مشروب العرق,Arak,
Arctic Char,سمك الشار القطبي,Omble chevalier,
Arctic Roll,حلى الأركتيك رول,Arctic roll,
Argan Oil,زيت الأرجان,Huile d'Argan,
Arginine,حمض أميني,Arginine,
Argon,غاز الأرجون,Argon,
Arkhi,,Arkhi,
Armagnac,كحول الأرماجناك,Armagnac,
Armenian Plum,خوخ أرميني,Prune arménienne,
Arrack,مشروب العرق,Arak,
Arrowroot,نبات الطاعة جذور الأروروت,Marante,
Arrowroot Flour,دقيق نبات الطاعة دقيق جذور الأروروت,Farine de marante,
Arrowroot Plant,نبات الطاعة جذور الأروروت,Plante de marante,
Arrowroot Powder,بودرة نبات الطاعة بودرة جذور الأروروت,Poudre de marante,
Artichoke,الأرضي شوكي,Artichaut,
Artificial,صناعي,Artificiel/elle,
Artificial Coloring,تلوين صناعي,Colorant artificiel,
Artificial Colors,ألوان صناعية,Colorants artificiels,
Artificial Colouring,تلوين صناعي,Colorant artificiel,
Artificial Colours,ألوان صناعية,Colorants artificiels,
Artificial Flavorings,نكهات صناعية,Arômes artificiels,
Artificial Flavors,منكهات صناعية,Arômes artificiels,
Artificial Flavourings,نكهات صناعية,Arômes artificiels,
Artificial Flavours,منكهات صناعية,Arômes artificiels,
Artificial Sweeteners,محليات صناعية,Édulcorants artificiels,
Arugula,الجرجير,Roquette,
Asafetida,صمغ الحلتيت,Asafetida,
Asafoetida,صمغ الحلتيت,Asafoetida,
Ascorbic Acid,حمض صمغ الحلتيت,Acide ascorbique,
Ascorbyl Palmitate,أسكوربيل بالميتات,Palmitate d'ascorbyle,
Asparagine,الهليونين,Asparagine,
Asparagus,الهليون,Asperges,
Aspartame,الأسبارتام,Aspartame,
Aspartic Acid,حمض الأسبارتيك الأميني,Acide aspartique,
Astaxanthin,أستازانتين,Astaxanthine,
Atlantic Bluefin Tuna,سمكة التونا الأطلنطية ذات الزعنفة الزرقاء,Thon rouge de l'Atlantique,
Atlantic Bonito,سمكة بونيتو الأطلنطية,Bonite à dos rayé,
Atlantic Cod,سمكة القد الأطلنطية,Morue atlantique,
Atlantic Herring,سمكة الرنجة الأطلنطية,Hareng atlantique,
Atlantic Horse Mackerel,سمكة الإسقمري الحصاني الأطلنطية,Chinchard,
Atlantic Mackerel,سمكة الإسقمري الأطلنطية,Maquereau commun,
Atlantic Ocean Perch,سمكة الجثم الأطلنطية,Sébaste orangé,
Atlantic Salmon,سمكة السالمون الأطلنطية,Saumon atlantique,
Atta Flour,دقيق عطا,Farine atta,
Aubergine,الباذنجان,Aubergine,
Average Composition,تكوينات تقريبية,Composition moyenne,
Avocado,أفوكادو,Avocat,
Avocado Leaf,ورقة أفوكادو,Feuille d'avocat,
Avocado Oil,زيت أفوكادو,Huile d'avocat,
Awamori,مشروب الأواموري الياباني,Awamori,
Ayala,أيالا,Maquereau des Indes,
Ayran,عيران,Dough,
Azodicarbonamide,مبيض الدقيق,Azodicarbonamide,
Azorubine,صبغة حمراء,Azorubine,
Azorubine Carmoisine,صبغة حمراء,Azorubine Carmoisine,
Azuki Bean,,Haricot azuki,
Babassu Oil,زيت الباباسو,Huile babassu,
Bacon,شرائح لحم الخنزير,Bacon,
Bacon and Egg Pie,شرائح لحم الخنزير مع بيض,Tarte aux œufs et bacon,
Bagel,خبز صمون مدور,Beignet,
Baguette,صمون,Baguette,
Baijiu,مشروب بايجو الصيني,Baijiu,
Bak Kwa,لحم باكوا الصيني المقدد,Bakkwa,
Baker's Yeast,خميرة الخَبز,Levure de boulanger,
Baker’s Yeast Extract,مستخلص خميرة الخَبز,Extrait de levure de boulanger,
Baker’s Yeast Glycan,خميرة غليكان,Glycane de levure de boulanger,
Baker’s Yeast Supplement,مكملات خميرة الخَبز,Supplément de levure de boulanger,
Bakewell Tart,تارت بيكويل كعكة بيكويل,Tarte Bakewell,
Baking Powder,بيكنج باودر,Levure,
Baking Soda,صودا الخبز بيكنج صودا,Bicarbonate de soude,
Bakkwa,لحم باكوا الصيني المقدد,Bakkwa,
Baklava,بقلاوة,Baklava,
Bakmi,نودلز باكمي الإندونيسية باللحم,Bakmi,
Bakmi Noodles,نودلز باكمي الإندونيسية باللحم,Nouilles bakmi,
Baladi Cheese,جبنة بلدي,Fromage baladi,
Balm,بلسم,Baume,
Balm Oil,زيت البلسم,Huile de baume,
Balm Lemon,بلسم، ليمون,Baume de citron,
Balsam,بلسم,Baume,
Balsam Herb,أعشاب البلسم,Herbe balsamique,
Balsam of Peru,بلسم من البيرو,Baume du Pérou,
Balsam Peru Oil,زيت بلسم البيرو,Huile de baume du Pérou,
Banana,موزة,Banane,
Banana Bread,خبز موز,Pain à la banane,
Banana Pepper,فلفل الموز,Poivre banane,
Banana Squash,مهروس الموز,Courge banane,
Banbury Cake,جاتوه بانبيري,Gâteau Banbury,
Banh Canh Noodles,نودلز بان كان,Nouilles Banh Canh,
Banh Da Noodles,نودلز بان دا,Nouilles Banh Da,
Banh Pho Noodles,نودلز بان فو,Nouilles Banh Pho,
Banoffee Pie,فطيرة بانوفي,Banoffee pie,
Barbecue Sauce,صلصة الباربيكيو,Sauce barbecue,
Barberry,نبات البرباريس,épine vinette,
Barbina,شعيرية,Barbine,
Barley,شعير,Orge,
Barley Beta Fiber,ألياف شعير بيتا,Fibre bêta d'orge,
Barley Beta Fibre,ألياف شعير بيتا,Fibre bêta d'orge,
Barley Flakes,رقائق الشعير,Flocons d'orge,
Barley Flour,دقيق الشعير,Farine d'orge,
Barley Grass,عشب الشعير,Herbe d'orge,
Barley malt,شراب الشعير,Malt d'orge,
Barley Malt Extract,مستخلص شراب الشعير,Extrait de malt d'orge,
Barley Water,مياه الشعير,Boisson orgée,
Barley Wine,نبيذ الشعير,Vin d'orge,
Barley Malted,الشعير، شراب,Orge maltée,
Barracuda,سمكة الباراكودا,Barracuda,
Bartlett Pear,اجاص بارتليت,Poire Williams,
Basa,سمك بنغاس بوكورتي,Poisson basa,
Basic methacrylate copolymer,ميثاكريليت الكوبوليمر الأساسية,Copolymère de méthacrylate basique,
Basil,الريحان,Basilique,
Basil Extract,مستخلص الريحان,Extrait de basilique,
Basket Cheese,سلة جبنة,Panier de fromage,
Bass,سمك القاروص,Bar,
Bass Sea,سمك القاروص,Bar de la mer,
Bass Striped,سمك القاروص المخطط,Bar rayé,
Basterma,بصطرمة,Pastirma,
Bream,أبراميس,Daurade,
Basturma,بصطرمة,Pastirma,
Bath Bun,خبز باث,Petit pain,
Bath Oliver,بسكوت أوليفر,Biscuit sec,
Battenberg Cake,كيك باتنبيرغ,Gâteau de Battenberg,
Bavette,لحم ستيك بافيت,Bavette,
Bay Bolete,فطر باي بوليت,Bolet bai,
Bay Laurel,نبات الغار,Feuille de laurier,
Bay Leaf,ورق الغار,Feuille de laurier,
Bay Scallop,محار,Pétoncle de baie,
Bay Tree,شجرة الغار,Laurier,
Bayleaves,ورق الغار,Feuilles de laurier,
Bean Curd,"توفو
",Tofu,
Bean Sprouts,براعم الفاصوليا,Germes de soja,
Beaten Biscuit,بسكوت بيتن,Biscuit battu,
Béchamel Sauce,صلصة البشاميل,Sauce Béchamel,
Bedfordshire Clanger,رغيف اللحم الإنجليزي,Bedfordshire Clanger,
Bedouin Bread,الخبز البدوي,Pain bédouin,
Beef,لحم,Bœuf,
Beef Bouillon Cube,مكعبات لحم البقر,Cube de bouillon de bœuf,
Beef Brisket Steak,ستيك البقر,Steak de poitrine de boeuf,
Beef stock,لحم بدون بهارات,Bouillon de bœuf,
Beef Stock Cube,قطعة لحم غير مبهرة,Cube de bouillon de bœuf,
Beefburger,برجر لحم,Burger de bœuf,
Beer,مياه شعيرية,Bière,
Beer Bread,خبز بمياه الشعير,Pain à la bière,
Beeswax,شمع النحل,Cire d'abeille,
Beeswax white and yellow,شمع النحل، أبيض وأصفر,Cire d'abeille blanche et jaune,
Beet,شمندر,Betterave,
Beet Extract,مستخلص الشمندر,Extrait de betterave,
Beet Greens,الشمندر الأخضر,Feuilles de betterave,
Beet Red,الشمندر الأحمر,Rouge betterave,
Beet Sugar,سكر الشمندر,Sucre de betterave,
Beetroot,الشمندر,Racine de betterave,
Beetroot Powder,مسحوق الشمندر,Poudre de racine de betterave,
Beetroot Red Betanin,الشمندر الأحمر البيتانين,Bétanine rouge betterave,
Beets Dehydrated,الشمندر، مجفف,Betteraves déshydratées,
Beigel,خبز البيجل,Beigel,
Bell Pepper,الفلفل الحلو,Poivron,
Ben Oil,زيت بذور المورينجا,Huile de behen,
Benne,سمسم أو حبة البركة,Sésame,
Bentonite,البنتونايت,Bentonite,
Benzaldehyde,بنزألدهيد,Benzaldéhyde,
Benzoate of Soda,بنزوات الصودا,Benzoate de soda,
Benzoic acid,حمض البنزويك,Acide benzoïque,
Benzoic Aldehyde,ألدهايد البنزويك,Aldéhyde benzoïque,
Benzoyl Peroxide,بيروكسيد البنزويل,Péroxyde de benzoyle,
Benzyl alcohol,بنزيل الكحول,Alcool de benzoyle,
Benzyl Propionate,بنزيل البروبيونات,Propionate de benzyle,
Berebere,توابل البربري,Berebere,
Bergamot,البرغموت,Bergamote,
Bergamot Essential Oil,زيت البرغموت العطري,Huile essentielle de bergamote,
Berry and Fruit Extracts,مستخلص التوت والفاكهة,Extraits de baies et de fruits,
Beta-Carotene,بيتا كاروتين,Bêta carotène,
Beta carotene for color,البيتا كاروتين لإضافة اللون,Bêta carotène pour la couleur,
Beta carotene for colour,البيتا كاروتين لإضافة اللون,Bêta carotène pour la couleur,
Beta Apo 8' Carotenal,بيتا أبو 8 كاروتينال,Bêta Apo 8' Carotenal,
Beta apo 8' carotenal C30,بيتا أبو 8 كاروتينال سي 30,Bêta Apo 8' Carotenal C30,
Beta Apo 8' Carotenic Acid Ethyl Ester,بيتا أبو 8 كاروتينيك حمض إثيل أستر,Ester d'éthyle d'acide bêta apo 8' caroténique,
Beta cyclodextrin,بيتا سيكلودكسترين,Bêta cyclodextrine,
Betanin,بيتانين,Bétanine,
Betsa betsa,مشروب البيتسا بيتسا,Betsa Betsa,
BHA,حمض هيدروكسي,Hydroxyanisole butylé,
Bhakri,خبز هندي,Bhakri,
Bhatoora,خبز هندي مقلي,Bhatura,
Bhatura,خبز هندي مقلي,Bhatura,
BHT,بوتيل هيدروكسي تولوين,Hydroxytoluène butylé,
